     ,Date                ,Start (ET) ,Visitor/Neutral        ,PTS ,Home/Neutral           ,PTS.1 ,Unnamed: 6 ,Unnamed: 7 ,Attend. ,LOG    ,Arena                      ,Notes
   0 ,"Tue, Oct 19, 2021" ,7:30p      ,Brooklyn Nets          ,104 ,Milwaukee Bucks        ,  127 ,Box Score  ,           ,17341.0 ,2:20   ,Fiserv Forum               ,
   1 ,"Tue, Oct 19, 2021" ,10:00p     ,Golden State Warriors  ,121 ,Los Angeles Lakers     ,  114 ,Box Score  ,           ,18997.0 ,2:33   ,Crypto.com Arena           ,
   2 ,"Wed, Oct 20, 2021" ,7:00p      ,Indiana Pacers         ,122 ,Charlotte Hornets      ,  123 ,Box Score  ,           ,15521.0 ,2:20   ,Spectrum Center            ,
   3 ,"Wed, Oct 20, 2021" ,7:00p      ,Chicago Bulls          , 94 ,Detroit Pistons        ,   88 ,Box Score  ,           ,20088.0 ,2:09   ,Little Caesars Arena       ,
   4 ,"Wed, Oct 20, 2021" ,7:30p      ,Boston Celtics         ,134 ,New York Knicks        ,  138 ,Box Score  ,2OT        ,19812.0 ,2:54   ,Madison Square Garden (IV) ,
   5 ,"Wed, Oct 20, 2021" ,7:30p      ,Washington Wizards     , 98 ,Toronto Raptors        ,   83 ,Box Score  ,           ,19800.0 ,2:15   ,Scotiabank Arena           ,
   6 ,"Wed, Oct 20, 2021" ,8:00p      ,Cleveland Cavaliers    ,121 ,Memphis Grizzlies      ,  132 ,Box Score  ,           ,15975.0 ,2:07   ,FedEx Forum                ,
   7 ,"Wed, Oct 20, 2021" ,8:00p      ,Houston Rockets        ,106 ,Minnesota Timberwolves ,  124 ,Box Score  ,           ,16079.0 ,2:12   ,Target Center              ,
   8 ,"Wed, Oct 20, 2021" ,8:00p      ,Philadelphia 76ers     ,117 ,New Orleans Pelicans   ,   97 ,Box Score  ,           ,12845.0 ,2:04   ,Smoothie King Center       ,
   9 ,"Wed, Oct 20, 2021" ,8:30p      ,Orlando Magic          , 97 ,San Antonio Spurs      ,  123 ,Box Score  ,           ,16697.0 ,2:13   ,AT&T Center                ,
  10 ,"Wed, Oct 20, 2021" ,9:00p      ,Oklahoma City Thunder  , 86 ,Utah Jazz              ,  107 ,Box Score  ,           ,18306.0 ,2:04   ,Vivint Smart Home Arena    ,
  11 ,"Wed, Oct 20, 2021" ,10:00p     ,Sacramento Kings       ,124 ,Portland Trail Blazers ,  121 ,Box Score  ,           ,17467.0 ,2:18   ,Moda Center                ,
  12 ,"Wed, Oct 20, 2021" ,10:00p     ,Denver Nuggets         ,110 ,Phoenix Suns           ,   98 ,Box Score  ,           ,16074.0 ,2:09   ,Phoenix Suns Arena         ,
  13 ,"Thu, Oct 21, 2021" ,7:30p      ,Dallas Mavericks       , 87 ,Atlanta Hawks          ,  113 ,Box Score  ,           ,17162.0 ,2:08   ,State Farm Arena           ,
  14 ,"Thu, Oct 21, 2021" ,8:00p      ,Milwaukee Bucks        , 95 ,Miami Heat             ,  137 ,Box Score  ,           ,19600.0 ,2:21   ,FTX Arena                  ,
  15 ,"Thu, Oct 21, 2021" ,10:00p     ,Los Angeles Clippers   ,113 ,Golden State Warriors  ,  115 ,Box Score  ,           ,18064.0 ,2:28   ,Chase Center               ,
  16 ,"Fri, Oct 22, 2021" ,7:00p      ,New York Knicks        ,121 ,Orlando Magic          ,   96 ,Box Score  ,           ,18846.0 ,2:06   ,Amway Center               ,
  17 ,"Fri, Oct 22, 2021" ,7:00p      ,Indiana Pacers         ,134 ,Washington Wizards     ,  135 ,Box Score  ,OT         ,15407.0 ,2:32   ,Capital One Arena          ,
  18 ,"Fri, Oct 22, 2021" ,7:00p      ,Charlotte Hornets      ,123 ,Cleveland Cavaliers    ,  112 ,Box Score  ,           ,17116.0 ,2:05   ,Rocket Mortgage Fieldhouse ,
  19 ,"Fri, Oct 22, 2021" ,7:30p      ,Toronto Raptors        ,115 ,Boston Celtics         ,   83 ,Box Score  ,           ,19156.0 ,2:05   ,TD Garden                  ,
  20 ,"Fri, Oct 22, 2021" ,7:30p      ,Brooklyn Nets          ,114 ,Philadelphia 76ers     ,  109 ,Box Score  ,           ,20367.0 ,2:21   ,Wells Fargo Center         ,
  21 ,"Fri, Oct 22, 2021" ,8:00p      ,Oklahoma City Thunder  , 91 ,Houston Rockets        ,  124 ,Box Score  ,           ,15674.0 ,2:02   ,Toyota Center              ,
