date ,home ,away,home pred,away pred,total,dk lines ,O/U,W/L,Column 1,
11/13/2024,ORL,IND,104,120,224,223,O,,,
,BKN,BOS,104,122,226,217,O,,,
,NYK,CHI,122,107,229,231,U,,,
,OKC,NOP,127,100,227,223,O,,,
,HOU,LAC,110,106,216,214,O,,,
,MIL,DET,117,102,219,215,O,,,
,SAN,WAS,126,92,218,224,U,,,
,LAL,MEM,118,118,236,231,O,,,
,POR,MIN,93,117,210,220,U,,,
,SAC,PHX,108,117,225,225,V,4,,
11/14/2024,DAL,UTA,114,114,228,-,U,,,
11/15/2024,IND,MIA,106,111,217,229,U,,,
,TOR,DET,99,119,218,224.5,U,,,
,CLE,CHI,133,114,247,237,O,,,
,NYK,BKN,119,99,218,216,O,,,
,SAS,LAL,106,106,212,227,U,,,
,HOU,LAC,108,109,217,214,O,,,
,NOP,DEN,103,119,222,219,O,,,
,OKC,PHX,115,120,235,228,O,,,
,GSW,MEM,142,125,267,236,O,,,
,SAC,MIN,108,110,218,221,U,,,
,ATL,WAS,117,101,218,241,U,5,,
,,,,,,,,,,
11/16/2024,CHA,MIL,102,119,221,?,U,,,
,BOS,TOR,133,117,250,?,U,,,
,NOP,LAL,110,117,227,?,U,,,
,DAL,SAS,105,121,226,?,U,,,
,SAC,UTA,116,92,208,?,U,,,
,,,,,,,,,,
11/17/2024,MIN,PHX,103,112,215,218,U,,,
,IND,MIA,105,121,226,227.5,U,,,
,CLE,CHA,134,101,235,225.5,O,,,
,MEM,DEN,123,128,251,228,O,,,
,POR,ATL,105,114,219,231.5,U,,,
,WAS,DET,97,119,216,231.5,U,,,
,CHI,HOU,118,108,226,234.5,U,,,
,NYK,BKN,125,106,231,221,O,,,
,OKC,DAL,124,127,251,226,O,,,
,LAC,UTA,104,85,189,221,U,4,,
,,,,,,,,,,
11/18/2024,DET,CHI,105,114,219,233,U,,,
,NYK,WAS,131,104,235,232,O,,,
,TOR,IND,114,135,249,233,O,,,
,MIL,HOU,113,110,223,224,U,,,
,PHX,ORL,105,90,195,210.5,U,,,
,SAC,ATL,131,112,243,236,O,,,
,LAC,GSW,112,132,244,225,O,4,,
,,,,,,,,,,
11/19/2024,BOS,CLE,121,135,256,236.5,O,,,
,BKN,CHA,104,117,221,220,O,,,
,MEM,DEN,118,127,245,227,O,,,
,DAL,NOP,110,100,210,222,U,,,
,SAS,OKC,110,113,223,223,V,,,
,LAL,UTA,118,93,211,235,U,5,,
,,,,,,,,,,
11/20/2024,CLE,NOP,122,99,221,222,U,,,
,MIL,CHI,109,119,228,238.5,U,,,
,HOU,IND,121,120,241,231.5,O,,,
,OKC,POR,121,105,226,224,O,,,
,GSW,ATL,131,117,248,239,O,,,
,PHX,NYK,102,123,225,224,O,,,
,LAC,ORL,96,95,191,206,U,4,,
,,,,,,,,,,
11/21/2024,CHA,DET,107,123,230,220.5,O,,,
,TOR,MIN,117,143,260,226,O,,,
,SAS,UTA,115,90,205,223,U,,,
,LAL,ORL,117,106,223,217,O,2,,
,,,,,,,,,,
11/22/2024,BOS,WAS,136,101,237,237,V,,,
,GSW,NOP,124,93,217,223,U,,,
,ATL,CHI,109,123,232,246,U,,,
,POR,HOU,92,115,207,224,U,,,
,IND,MIL,107,122,229,236,U,,,
,DAL,DEN,122,122,244,225,O,,,
,SAC,LAC,114,111,225,221,O,3,,
,,,,,,,,,,
11/23/2024,UTA,NYK,94,127,221,233,U,,,
,ORL,DET,95,105,200,206,U,,,
,CHI,MEM,133,119,252,241,O,,,
