Rk,Team,Span Started,Span Ended,PTS,ORtg,AST,DRtg,G,W,L,W/L%,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF,ORtg,DRtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORtg,Opp_def_rtg,FTr,3PAr,TS%,eFG%,FT/FGA,Ind. Games Link
3,ATL,1/30/25,2/24/25,1348,117.9,335,118,11,5,6,0.455,2665,488,1012,0.482,331,592,0.559,157,420,0.374,215,290,0.741,1348,492,988,0.498,362,605,0.598,130,383,0.339,235,281,0.836,122.54545454545455,2665,335,91,55,152,229,309,88,47,157,223,117.9,118,0.287,0.415,0.591,0.56,0.212,118,,0.284,0.388,0.607,0.564,0.238,Games List
4,BOS,1/27/25,2/23/25,1294,121.8,305,110.4,11,9,2,0.818,2640,465,963,0.483,267,460,0.58,198,503,0.394,166,201,0.826,1294,432,991,0.436,293,577,0.508,139,414,0.336,170,206,0.825,117.63636363636364,2640,305,64,62,131,182,254,70,23,119,192,121.8,110.4,0.209,0.522,0.615,0.586,0.172,110.4,,0.208,0.418,0.542,0.506,0.172,Games List
5,BRK,1/27/25,2/24/25,1111,108.3,263,107.1,11,7,4,0.636,2640,414,945,0.438,302,574,0.526,112,371,0.302,171,220,0.777,1111,399,922,0.433,277,532,0.521,122,390,0.313,178,236,0.754,101.0,2640,263,106,79,161,226,262,80,65,180,207,108.3,107.1,0.233,0.393,0.533,0.497,0.181,107.1,,0.256,0.423,0.535,0.499,0.193,Games List
7,CHI,1/29/25,2/24/25,1265,112,304,118.8,11,3,8,0.273,2665,445,999,0.445,271,513,0.528,174,486,0.358,201,238,0.845,1265,486,1031,0.471,330,606,0.545,156,425,0.367,214,263,0.814,115.0,2665,304,79,57,157,196,323,93,63,140,186,112,118.8,0.238,0.486,0.573,0.533,0.201,118.8,,0.255,0.412,0.585,0.547,0.208,Games List
8,CHO,2/1/25,2/24/25,1105,103.5,266,118.7,11,2,9,0.182,2640,403,983,0.41,278,605,0.46,125,378,0.331,174,216,0.806,1105,470,995,0.472,307,529,0.58,163,466,0.35,164,202,0.812,100.45454545454545,2640,266,84,41,151,183,311,87,57,149,194,103.5,118.7,0.22,0.385,0.513,0.474,0.177,118.7,,0.203,0.468,0.584,0.554,0.165,Games List
13,CLE,1/29/25,2/23/25,1404,126,323,108.9,11,10,1,0.909,2640,523,1032,0.507,350,572,0.612,173,460,0.376,185,233,0.794,1404,445,1023,0.435,306,596,0.513,139,427,0.326,184,247,0.745,127.63636363636364,2640,323,93,45,155,221,271,91,50,151,187,126,108.9,0.226,0.446,0.619,0.591,0.179,108.9,,0.241,0.417,0.536,0.503,0.18,Games List
14,DAL,1/29/25,2/23/25,1269,116.4,281,120.9,11,6,5,0.545,2665,469,982,0.478,319,589,0.542,150,393,0.382,181,237,0.764,1269,506,1043,0.485,372,670,0.555,134,373,0.359,172,221,0.778,115.36363636363636,2665,281,79,69,149,186,311,81,60,134,199,116.4,120.9,0.241,0.4,0.584,0.554,0.184,120.9,,0.212,0.358,0.578,0.549,0.165,Games List
17,DEN,1/31/25,2/24/25,1379,127.2,363,115.9,11,10,1,0.909,2640,532,1001,0.531,391,632,0.619,141,369,0.382,174,212,0.821,1379,450,1000,0.45,296,590,0.502,154,410,0.376,203,250,0.812,125.36363636363636,2640,363,82,46,155,201,295,89,54,132,184,127.2,115.9,0.212,0.369,0.63,0.602,0.174,115.9,,0.25,0.41,0.566,0.527,0.203,Games List
20,DET,1/31/25,2/24/25,1365,121.9,324,110.5,11,9,2,0.818,2640,505,1023,0.494,368,643,0.572,137,380,0.361,218,268,0.813,1365,436,961,0.454,285,535,0.533,151,426,0.354,214,273,0.784,124.0909090909091,2640,324,111,54,153,223,280,90,62,184,214,121.9,110.5,0.262,0.371,0.598,0.561,0.213,110.5,,0.284,0.443,0.572,0.532,0.223,Games List
23,GSW,1/29/25,2/23/25,1292,117.3,329,111.6,11,7,4,0.636,2640,456,1015,0.449,297,541,0.549,159,474,0.335,221,279,0.792,1292,451,953,0.473,311,563,0.552,140,390,0.359,188,249,0.755,117.45454545454545,2640,329,109,49,134,224,277,81,49,182,229,117.3,111.6,0.275,0.467,0.568,0.528,0.218,111.6,,0.261,0.409,0.579,0.547,0.197,Games List
