Team,PTS,G,PTS_per_G
ATL,1348,11,122.54545454545455
BOS,1294,11,117.63636363636364
BRK,1111,11,101.0
CHI,1265,11,115.0
CHO,1105,11,100.45454545454545
CLE,1404,11,127.63636363636364
DAL,1269,11,115.36363636363636
DEN,1379,11,125.36363636363636
DET,1365,11,124.0909090909091
GSW,1292,11,117.45454545454545
HOU,1198,11,108.9090909090909
IND,1323,11,120.27272727272727
LAC,1253,11,113.9090909090909
LAL,1313,11,119.36363636363636
MEM,1310,11,119.0909090909091
MIA,1147,11,104.27272727272727
MIL,1244,11,113.0909090909091
MIN,1278,11,116.18181818181819
MIN,1285,11,116.81818181818181
NOP,1275,11,115.9090909090909
NYK,1326,11,120.54545454545455
OKC,1396,11,126.9090909090909
ORL,1156,11,105.0909090909091
PHI,1218,11,110.72727272727273
PHO,1268,11,115.27272727272727
POR,1280,11,116.36363636363636
SAS,1269,11,115.36363636363636
TOR,1197,11,108.81818181818181
UTA,1295,11,117.72727272727273
WAS,1228,11,111.63636363636364
